Cle_Chrono;date;hippodrome;Course;heure;code_course;discipline;distance;allocation;nombre_partants;"Gains Totaux";"Gains Course";Numero;Cheval;ferrure;age;Sexe;Musique;Driver;Entraineur;avis_entraineur;"Taux Victoire";"Taux Place";"Taux Incident";"Classe Groupe";"Courses courues";nombre_victoire;nombre_place;incident;distanceRecord_sec;supplemente;ExFav;inTQQ;prec_popularite;Popularite;"Evo Popul";Cote;PC;Poids;Valeur;Place_Corde;Repos;Rank;"Turf Points";"TPch 90";"Moy. TPch 365";"Moy. TPch 90";"Rang J.";"TPJ 365";"TPJ 90";"Moy. TPJ 365";"Moy. TPJ 90";"Cote BZH";"Synergie JCh";ELO_Cheval;ELO_Jockey;ELO_Entraineur;ELO_Proprio;ELO_Eleveur;Sigma_Horse;Moy_Alloc;IA_Gagnant;IA_Couple;IA_Trio;IA_Multi;IA_Quinte;IMDC;Note_IA;Note_IA_Decimale;Rapport_SG;Rapport_SP;222;CagnesSPG;DSg;"GULFSTREAM PARK G";"Happy  valley";MaronasBorelisG;PAUJPtop2;Sgverification;"Simple relax";VSP/2;chaos;classement;conceptionG;deauville;ghlin;"kempton park";leBouscatP;lebouscapG;"simple chat";"simple placé max";vincenne;"Borda - Borda par Défaut";"Borda - Deauville galot pcf";"Borda - Pau attelé";"Borda - Pau monté";"Borda - Pau plat";"Borda - cagne sur mer attelé";"Borda - cagne sur mer monté";"Borda - le boucast";"Borda - monté 12-16 chevaux  vincenne";"Borda - trot 10-12 chevaux  vincenne";"Borda - trot 12-14 chevaux  vincenne";"Borda - trot 14-16 chevaux  vincenne";"Borda - trot 8-10 chevaux  vincenne"
202601151355R1C101;2026-01-15;Paris-Vincennes;R1C1;13:55;R1C101;A;2100;59000,0;16;226232;6114,3783783784;1;CHITCHAT;DEFERRE_ANTERIEURS_POSTERIEURS;9;H;(25)1a0a3a1a0a2a7a1a4a;"B. Rochard";"D. Wäjersten";NEUTRE;0,4054054054054054;0,5945945945945946;0,05;"Course D";37;15;7;2;71,1;Non;Non;Oui;874;1140,0;266;2,7;16;;;1;22,0;1;1752;1158;175,2;289,5;2;215340;60535;173,10289389067523;159,72295514511873;3,2;78,1;1619;1525;1509;1436;1499;72,79996247042082;62000;0,2665607691886;0,42228851263932;0,6315608696709714;0,7274145093955262;0,7714820848442419;-5,0;✅18.6;18,6;2,7;1,4;;5,65;-5,50;10,60;-2,80;-8,05;2,70;0;;0;-4,84;FAVORIS;5,15;-0,50;0;0,10;11,10;11,10;30,71;44,57;-2,40;72;163;218;147;183;198;144;163;202;303;303;289;303
202601151355R1C102;2026-01-15;Paris-Vincennes;R1C1;13:55;R1C102;A;2100;59000,0;16;226120;4187,4074074074;2;"HISTORIC DAY";;9;H;(25)4aDa9a3a5a6aDaDa1a;"N. Bazire";"J. Lebouteiller";NEGATIF;0,2407407407407407;0,5185185185185185;0,13;"Course D";54;13;15;7;71,8;Non;Non;Oui;619;616,0;-3;107;18;;;2;30,0;12;711;171;79,0;42,75;27;40168;18250;135,7027027027027;200,5494505494505;26;70,7;1625;1500;1461;1361;1501;74,8320824892961;44333;0,0492997116821027;0,1042000545155507;0,190219784880037;0,2441332200935058;0,293993111278872;2,0;⚖️11.0;11,0;;;;0;-6,90;0;-4,20;-7,35;;0;;0;3,30;OUTSIDERS;0;-3,90;0;0;0;0;29,87;46,73;-6,30;39;100;152;117;125;146;117;100;124;192;206;197;173
202601151355R1C103;2026-01-15;Paris-Vincennes;R1C1;13:55;R1C103;A;2100;59000,0;16;225380;2299,7959183673;3;HYDROMEL;DEFERRE_ANTERIEURS_POSTERIEURS;9;H;5a(25)7aDa0a0a8a5a4a1a;"E. Raffin";"P. Le Moel";NEUTRE;0,0714285714285714;0,2346938775510204;0,26;"Course D";98;7;16;25;71,6;Non;Non;Oui;584;597,0;13;25;25;;;3;13,0;4;660;48;41,25;9,6;1;233673;72839;176,09118311981914;189,1922077922078;23;71,2;1517;1549;1530;1495;1493;82,90765455361853;38667;0,0378402285893617;0,0796799917398268;0,1438519672859508;0,2079018865655313;0,2879555065249354;-3,0;❌9.2;9,2;;;;0;-8,05;0;-5;-7,55;;0;;0;-1,85;OUTSIDERS;0;-7,80;0;0;0;0;23,65;38,42;-7,40;43;141;166;93;126;151;86;141;132;206;216;209;180
202601151355R1C104;2026-01-15;Paris-Vincennes;R1C1;13:55;R1C104;A;2100;59000,0;16;238091;3132,7763157895;4;"HOLD UP RANAIS";DEFERRE_ANTERIEURS_PROTEGE_POSTERIEURS;9;H;0a(25)6a4a4a7a4a5a3aDa;"G. Martin";"M. Bézier";NEUTRE;0,1052631578947368;0,3421052631578947;0,08;"Course D";76;8;18;6;70,9;Non;Non;Oui;667;672,0;5;28;35;;;4;12,0;11;359;118;23,933333333333334;23,6;53;19390;4327;57,708333333333336;50,31395348837209;25;47;1596;1488;1475;1549;1488;78,9525221440891;60333;0,071782485811889;0,1197138932783009;0,2438295593661308;0,3147480184829871;0,3804671828733026;2,0;⚖️13.6;13,6;;;;0;-5,15;0;-2,80;-5,80;;0;;0;3,25;OUTSIDERS;0;-3,10;0;0;0;0;19,51;32,93;-4;44;97;151;97;132;118;111;97;147;193;202;191;180
202601151355R1C105;2026-01-15;Paris-Vincennes;R1C1;13:55;R1C105;A;2100;59000,0;16;230340;2399,375;5;"GUCCI DE BARB";DEFERRE_ANTERIEURS_POSTERIEURS;10;H;0a(25)6a4aAa9a4aDa2a6a;"P. Daugeard";"P. Daugeard";NEUTRE;0,1041666666666666;0,3854166666666667;0,10;"Course D";96;10;27;10;71,9;Non;Non;Oui;519;513,0;-6;54;153;;;5;12,0;10;442;161;36,833333333333336;26,83333333333333;74;13597;4945;62,65898617511521;69,64788732394366;23;51,6;1571;1520;1524;1502;1422;79,42157243734249;42333;0,045001957258252;0,0888655058212065;0,1700215768968875;0,2362653304706491;0,2887795168341517;2,0;⚖️11.5;11,5;;;;0;-7,90;0;-4,20;-7,85;;0;;0;3,15;OUTSIDERS;0;-6,50;0;0;0;0;21,57;35,88;-7,10;49;79;143;85;118;143;112;79;116;176;185;177;152
202601151355R1C106;2026-01-15;Paris-Vincennes;R1C1;13:55;R1C106;A;2100;59000,0;16;237339;4238,1964285714;6;"TURE L.A.";DEFERRE_ANTERIEURS_POSTERIEURS;9;H;(25)3a1a2a2a8a1a;"M. Mottier";"Mme M. Törnqvist";POSITIF;0,3392857142857143;0,5714285714285714;0,07;"Course D";56;19;13;4;70,8;Non;Non;Non;0;67,0;-;2,9;85;;;6;47,0;2;0;0;0,0;0,0;6;157148;33548;164,72536687631026;153,18721461187215;6,9;0;1614;1516;1441;1361;1361;75,0080249882145;27899;0,1911993077641419;0,4186283971630588;0,5132561396204874;0,5641276798478464;0,6274637972132349;-37,0;✅16.5;16,5;;1,5;;0;-5,70;10;-2,80;-7,80;;0;;0;-36,66;FAVORIS;0;-1,40;0;0,00;10,40;10,40;-35,64;-27,13;-3;56;139;188;110;144;156;106;139;171;232;245;233;226
202601151355R1C107;2026-01-15;Paris-Vincennes;R1C1;13:55;R1C107;A;2100;59000,0;16;225990;3476,7692307692;7;"GUMP DU PONCELET";DEFERRE_ANTERIEURS_POSTERIEURS;10;H;(25)1a8aDa0a0a(24)0a(22)3a;"JB. Lelièvre";"D. Kumpen";NEUTRE;0,123076923076923;0,4615384615384615;0,26;"Course D";65;8;22;17;71,6;Non;Non;Oui;832;828,0;-4;27;143;;;7;38,0;D;0;0;0,0;0,0;329;2551;589;19,32575757575757;14,023809523809524;15;93,8;1612;1504;1409;1409;1413;77,64679242715631;39000;0,050232312989506;0,1152732757264613;0,1916238921236139;0,2601690942070399;0,362273573300641;7,0;⚖️14.2;14,2;;;;0;-6,85;0;-4,20;-7,90;;0;;0;7,75;OUTSIDERS;0;-3,90;0;0;0;0;42,33;62,12;-5,10;45;88;144;104;128;114;98;88;143;159;168;163;140
202601151355R1C108;2026-01-15;Paris-Vincennes;R1C1;13:55;R1C108;A;2100;59000,0;16;228160;1966,8965517241;8;"FORREST GUMP SET";DEFERRE_ANTERIEURS_POSTERIEURS;11;H;6a(25)6a2a3aDa1a1a2a9a;"C. Terry";"F. Terry";NEUTRE;0,0689655172413793;0,2413793103448276;0,41;"Course D";116;8;20;47;73,5;Non;Oui;Oui;803;812,0;9;27;15;;;8;7,0;3;1186;136;148,25;34,0;56;18249;4666;47,03350515463917;40,57391304347826;16;53,1;1553;1514;1471;1544;1361;81,1313338115069;32667;0,0461832071598044;0,1034042558016793;0,1900571414896112;0,2440819434894329;0,2921992321370735;2,0;⚖️12.8;12,8;;3,7;;0;-7,20;0;-4;-7,35;;0;;0;2,80;OUTSIDERS;0;-6,10;0;0;0;0;21,45;34,47;-6,00;39;114;153;98;125;105;95;114;119;156;175;169;145
202601151355R1C109;2026-01-15;Paris-Vincennes;R1C1;13:55;R1C109;A;2100;59000,0;16;240505;1768,4191176471;9;"GLAMOUR YOMA";DEFERRE_ANTERIEURS_POSTERIEURS;10;H;(25)0a0a8a0a6a7a6a0a8a;"A. Collette";"PJ. Cordeau";POSITIF;0,088235294117647;0,2867647058823529;0,09;"Course D";136;12;27;12;71,6;Non;Non;Oui;517;534,0;17;36;144;;;9;22,0;15;1538;18;80,94736842105263;3,6;24;44483;15188;59,4692513368984;72,66985645933015;51;39;1540;1489;1502;1494;1494;80,32003313106178;55333;0,0152769677446486;0,0267506855939675;0,0424544269996536;0,0625054839414312;0,1431655046537074;-5,0;❌8.6;8,6;;;;0;-10,70;0;-7,80;-8,80;;0;;0;-2,45;OUTSIDERS;0;-11;0;0;0;0;9,03;20,10;-11,80;22;87;121;66;83;124;86;87;99;119;149;148;100
202601151355R1C110;2026-01-15;Paris-Vincennes;R1C1;13:55;R1C110;A;2100;59000,0;16;216350;2121,0784313725;10;"GRAZIELA D'EL";PROTEGE_ANTERIEURS_DEFERRRE_POSTERIEURS;10;F;(25)Da1a0a5aDaDaDaDa8a;"D. Thomain";"F. Héon";NEUTRE;0,0686274509803921;0,2450980392156862;0,26;"Course D";102;7;18;27;71,4;Non;Non;Oui;843;855,0;12;35;39;;;10;27,0;5;490;486;61,25;81,0;8;125334;29356;118,46313799621927;114,22568093385216;25;71,2;1531;1524;1529;1508;1511;80,49833708608837;47667;0,0365346728302487;0,0778673207006635;0,1393845060784962;0,1789650723166381;0,2267980611917418;0,0;✅15.3;15,3;;;;0;-8,75;0;-5,40;-8,05;;0;;0;1,25;OUTSIDERS;0;-8,20;0;0;0;0;26,71;40,58;-8,50;50;123;146;95;116;131;101;123;143;215;215;212;200
