Cle_Chrono;date;hippodrome;Course;heure;code_course;discipline;distance;allocation;nombre_partants;"Gains Totaux";"Gains Course";Numero;Cheval;ferrure;age;Sexe;Musique;Driver;Entraineur;avis_entraineur;"Taux Victoire";"Taux Place";"Taux Incident";"Classe Groupe";"Courses courues";nombre_victoire;nombre_place;incident;distanceRecord_sec;supplemente;ExFav;inTQQ;prec_popularite;Popularite;"Evo Popul";Cote;PC;Poids;Valeur;Place_Corde;Repos;Rank;"Turf Points";"TPch 90";"Moy. TPch 365";"Moy. TPch 90";"Rang J.";"TPJ 365";"TPJ 90";"Moy. TPJ 365";"Moy. TPJ 90";"Cote BZH";"Synergie JCh";ELO_Cheval;ELO_Jockey;ELO_Entraineur;ELO_Proprio;ELO_Eleveur;Sigma_Horse;Moy_Alloc;IA_Gagnant;IA_Couple;IA_Trio;IA_Multi;IA_Quinte;IMDC;Note_IA;Note_IA_Decimale;Rapport_SG;Rapport_SP;222;CagnesSPG;DSg;"GULFSTREAM PARK G";"Happy  valley";MaronasBorelisG;PAUJPtop2;Sgverification;"Simple relax";VSP/2;chaos;classement;conceptionG;deauville;ghlin;"kempton park";leBouscatP;lebouscapG;"simple chat";"simple placé max";vincenne;"Borda - Borda par Défaut";"Borda - Deauville galot pcf";"Borda - Pau attelé";"Borda - Pau monté";"Borda - Pau plat";"Borda - cagne sur mer attelé";"Borda - cagne sur mer monté";"Borda - le boucast";"Borda - monté 12-16 chevaux  vincenne";"Borda - trot 10-12 chevaux  vincenne";"Borda - trot 12-14 chevaux  vincenne";"Borda - trot 14-16 chevaux  vincenne";"Borda - trot 8-10 chevaux  vincenne"
202601161603R1C101;2026-01-16;Deauville;R1C1;16:03;R1C101;P;2500;21100,0;12;20452;1573,2307692308;1;"DADDY JOY";;5;H;(25)0p5p0p8p2p0p(24)3p5p;"T. Bachelot";"P. Auchère";;0,0769230769230769;0,3846153846153846;0;"Classe 3";13;1;4;0;;Non;Non;Non;126;125,0;-1;25;6,8;60;29;3;19,0;" ";261;36;43,5;18,0;15;93761;26313;101,0355603448276;118,52702702702705;19;0;1483;1507;1444;1361;1460;47,57392621203349;18533;0,1180913886449932;0,1867999742781433;0,2869750054423124;0,3512695420749853;0,3512695420749853;3,125;⚖️13.0;13,0;;;;0;-6,45;0;-3,80;-6,70;;0;;0;4,08;OUTSIDERS;0;-4,70;0;0;0;0;0,05;9,69;-5,60;29;90;108;79;87;106;68;90;102;143;143;136;138
202601161603R1C103;2026-01-16;Deauville;R1C1;16:03;R1C103;P;2500;21100,0;12;49742;2368,6666666667;3;MYSTIC;;7;H;(25)2p5p0p2p3p1p(24)0p3p;"A. Baron";"A. Baron";;0,0952380952380952;0,4761904761904761;0;"Classe 3";21;2;8;0;;Non;Oui;Non;205;243,0;38;4,3;4;58,5;27,5;4;25,0;" ";1167;348;194,5;174,0;78;25489;7713;76,54354354354355;77,9090909090909;5,5;67,5;1561;1505;1444;1450;1506;59,78563578656988;23967;0,190675885353162;0,2824822509024647;0,3999545885069193;0,5403353378221782;0,5403353378221782;-0,75;✅16.5;16,5;;;;1,05;-4,40;6,50;-0,40;-5,80;2,30;1;;0;-0,48;FAVORIS;1,10;-2;0;1,60;6,95;6,95;28,63;40,44;-2,20;43;110;154;110;128;128;111;110;145;192;192;181;189
202601161603R1C104;2026-01-16;Deauville;R1C1;16:03;R1C104;P;2500;21100,0;12;77165;2411,40625;4;IRTYCH;;5;H;(25)2p4p2p0p9p7p0p7p5p;"S. Pasquier";"Mme Y. Vollmer";;0,09375;0,28125;0;"Classe 3";32;3;6;0;;Non;Oui;Oui;296;314,0;18;3,7;6,1;57;26;7;25,0;" ";817;525;62,84615384615385;262,5;12;117277;19204;162,43351800554018;133,36111111111111;3,5;87,5;1560;1520;1466;1458;1377;66,66829508143852;14833;0,2633138991351223;0,4070990742123801;0,5173316846641027;0,6246973875276445;0,6246973875276445;2,125;✅17.0;17,0;;;;0,30;-3,80;6,90;0,40;-5,45;1,40;1;87,50;0;2,30;FAVORIS;0,75;-1,50;0;2,90;7,35;7,35;40,03;51,39;-1,20;50;128;171;111;139;152;122;128;161;230;230;218;229
202601161603R1C105;2026-01-16;Deauville;R1C1;16:03;R1C105;P;2500;21100,0;12;50118;1616,7096774194;5;"LOFSONGUR ISLANDE";;6;F;(25)6p3p0p7p0p1p0p6p5p;"Mlle M. Vélon";"A. Fouassier";;0,0967741935483871;0,1935483870967742;0;"Classe 3";31;3;3;0;;Non;Oui;Non;759;744,0;-15;11;6,1;56,5;25,5;5;25,0;" ";304;166;27,63636363636364;33,2;17;78220;16952;85,29989094874591;79,21495327102804;11;62,5;1531;1501;1519;1361;1498;68,19672980009224;20800;0,1217810990318925;0,199663338668409;0,2872000195759072;0,3815648343430968;0,3815648343430968;2,125;⚖️13.5;13,5;;;;0;-5,55;0;-1,20;-5,90;;0;;0;2,68;POSSIBLE;0;-4,50;0;0;0;0;25,09;37,58;-4,30;39;101;138;90;120;126;96;101;126;176;176;168;175
202601161603R1C106;2026-01-16;Deauville;R1C1;16:03;R1C106;P;2500;21100,0;12;79418;1764,8444444444;6;"AL ALAALI";;6;H;(25)0p4p3p2p3p4p7p3p0p;"C. Demuro";"N. Caullery";;0,0444444444444444;0,3333333333333333;0;"Classe 3";45;2;13;0;;Non;Oui;Non;433;435,0;2;6,2;2,8;56;25;6;18,0;" ";906;672;64,71428571428571;134,4;4;327956;30621;229,17959468902865;312,4591836734694;9,1;0;1534;1534;1476;1529;1459;77,09618338516103;19833;0,1808181335677446;0,2796652044938939;0,3895478351063174;0,5349844202004672;0,5349844202004672;4,375;⚖️14.2;14,2;;;;0;-4,40;0;0;-5,25;;1;;0;4,83;POSSIBLE;0;-3,10;0;2,10;0;0;3,04;11,68;-2,60;50;134;171;108;136;146;107;134;156;222;222;212;220
202601161603R1C107;2026-01-16;Deauville;R1C1;16:03;R1C107;P;2500;21100,0;12;43644;1363,875;7;"CAPTAIN EAGLE";;8;H;(25)8p5p6p6p5p7p8p5p;"P. Remoué";"Mlle S. Geffriaud";;0,09375;0,34375;0,03;"Classe 3";32;3;8;1;;Non;Non;Non;139;158,0;19;27;12;56;25;13;18,0;" ";128;68;16,0;17,0;92;21131;5934;60,2022792022792;50,28813559322034;32;57,2;1470;1495;1445;1410;1484;65,58607774520404;16633;0,044813547113081;0,086949864529679;0,1364444538782025;0,2162142465203995;0,2162142465203995;4,375;⚖️12.0;12,0;;;;0;-8;0;-4,40;-6,85;;0;;0;5,98;OUTSIDERS;0;-7,90;0;0;0;0;25,97;39,93;-8,50;16;61;83;59;76;84;70;61;84;104;104;101;93
202601161603R1C108;2026-01-16;Deauville;R1C1;16:03;R1C108;P;2500;21100,0;12;43401;1972,7727272727;8;"ERIDITA DOVER";;5;F;(25)0p0p5p0p6p1p8p4p1p;"T. Piccone";"J. Carayon";;0,1818181818181818;0,2272727272727272;0;"Classe 3";22;4;1;0;;Non;Non;Non;97;98,0;1;13;72;55,5;24,5;9;18,0;" ";601;48;54,63636363636363;12,0;14;94095;19436;94,5678391959799;85,24561403508773;44;44,1;1490;1504;1495;1420;1420;56,22640199199561;19200;0,0430913250118075;0,0820266237256467;0,1255147503936286;0,1864675725325266;0,1864675725325266;4,375;⚖️13.2;13,2;;;;0;-8,35;0;-6,40;-6,80;;0;;0;6,58;POSSIBLE;0;-8,30;0;0;0;0;20,15;30,93;-9,50;31;72;96;59;83;114;66;72;98;133;133;131;123
202601161603R1C109;2026-01-16;Deauville;R1C1;16:03;R1C109;P;2500;21100,0;12;7337;815,22222222222;9;"CATHERINE'S GIFT";;4;F;5p(25)9p4p0p5p8p4p3p;"C. Lecoeuvre";"F. Monfort";;0,0;0,1111111111111111;0;"Classe 3";9;0;1;0;;Non;Non;Non;26;30,0;4;13;18;55,5;26;12;13,0;" ";44;44;14,666666666666666;14,666666666666666;9;126842;25656;132,958071278826;124,54368932038837;33;0;1448;1503;1522;1499;1365;34,75132868361793;15867;0,0739525011753992;0,1243715639621071;0,2260893974023911;0,3038578229985499;0,3038578229985499;0,0;❌10.5;10,5;;;;0;-7,05;0;-6,40;-6,45;;0;;0;1,65;POSSIBLE;0;-5,60;0;0;0;0;-4,44;2,17;-7,50;28;65;76;32;59;72;36;65;63;114;114;109;101
202601161603R1C110;2026-01-16;Deauville;R1C1;16:03;R1C110;P;2500;21100,0;12;5046;841;10;"FIRST ONE";;5;H;(25)2p(24)0p7p4p0p0p;"Y. Rousset";"P. Menard";;0,0;0,1666666666666666;0;"Classe 3";6;0;1;0;;Non;Non;Non;8;71,0;63;31;74;55,5;24,5;8;30,0;" ";225;225;225,0;225,0;183;8371;3068;57,73103448275862;68,17777777777778;11;80;1423;1506;1468;1435;1435;35,27131774522247;19133;0,1657969469128499;0,256125831565184;0,3644598387975847;0,4520330338350709;0,4520330338350709;0,0;⚖️13.8;13,8;;;;0;-5,60;0;-2,60;-6,50;;0;;0;1,55;OUTSIDERS;0;-3;0;0;0;0;27,83;42,30;-4,20;34;56;86;60;62;80;75;56;79;128;128;119;118
202601161603R1C111;2026-01-16;Deauville;R1C1;16:03;R1C111;P;2500;21100,0;12;158296;1246,4251968504;11;ARMORIGENE;;9;H;0p(25)5p6p6p2p3p1p1p3p;"P. Bazire";"Mlle J. Le Stang";;0,0629921259842519;0,2834645669291338;0,01;"Classe 3";127;8;28;1;;Oui;Non;Non;581;586,0;5;17;10;55;24;2;8,0;" ";3081;851;123,24;121,57142857142856;83;24338;9120;83,92413793103448;108,57142857142856;30;69,9;1514;1496;1467;1474;1520;80,9888016715126;17300;0,0450671426886156;0,0887168655532064;0,1665482651499457;0,2813606704557762;0,2813606704557762;4,375;✅15.2;15,2;;;;0;-7,20;0;-3,80;-6,20;;0;;0;5,88;OUTSIDERS;0;-7,60;0;0;0;0;30,75;45,38;-7,30;30;80;110;74;93;111;94;80;117;155;155;151;151
